#
# contig_name	read_name
#
302_c1	18-9700000-9720000:14080:fwd
302_c1	212-9700000-9720000:14533:rev
302_c1	711-9700000-9720000:14488:rev
302_c1	233-9700000-9720000:13970:fwd
302_c1	506-9700000-9720000:14478:rev
302_c1	473-9700000-9720000:14430:rev
302_c1	638-9700000-9720000:14409:rev
302_c1	668-9700000-9720000:14402:rev
302_c1	763-9700000-9720000:14422:rev
302_c1	85-9700000-9720000:13952:fwd
302_c1	254-9700000-9720000:14564:rev
302_c1	22-9700000-9720000:14075:fwd
302_c1	557-9700000-9720000:14112:fwd
302_c1	596-9700000-9720000:14112:fwd
302_c1	30-9700000-9720000:14681:rev
302_c1	781-9700000-9720000:14144:fwd
302_c1	425-9700000-9720000:14646:rev
302_c1	111-9700000-9720000:14270:fwd
302_c1	422-9700000-9720000:14764:rev
302_c1	443-9700000-9720000:14294:fwd
302_c1	194-9700000-9720000:14272:fwd
302_c1	62-9700000-9720000:14819:rev
302_c1	632-9700000-9720000:14378:fwd
302_c1	344-9700000-9720000:14450:fwd
302_c1	274-9700000-9720000:14529:fwd
302_c1	294-9700000-9720000:14558:fwd
302_c1	764-9700000-9720000:14611:fwd
302_c1	633-9700000-9720000:14630:fwd
302_c1	125-9700000-9720000:14678:fwd
302_c1	591-9700000-9720000:15297:rev
302_c1	176-9700000-9720000:14785:fwd
302_c1	84-9700000-9720000:14824:fwd
302_c1	756-9700000-9720000:15437:rev
302_c1	278-9700000-9720000:15454:rev
302_c1	404-9700000-9720000:14888:fwd
302_c1	246-9700000-9720000:15578:rev
302_c1	590-9700000-9720000:15614:rev
302_c1	249-9700000-9720000:15149:fwd
302_c1	63-9700000-9720000:15653:rev
302_c1	667-9700000-9720000:15515:rev
302_c1	371-9700000-9720000:15025:fwd
302_c1	306-9700000-9720000:14928:fwd
302_c1	526-9700000-9720000:15523:rev
302_c1	402-9700000-9720000:15045:fwd
302_c1	408-9700000-9720000:15381:rev
302_c1	639-9700000-9720000:15601:rev
302_c1	792-9700000-9720000:15557:rev
302_c1	137-9700000-9720000:14847:fwd
302_c1	755-9700000-9720000:15191:rev
302_c1	337-9700000-9720000:14678:fwd
302_c1	513-9700000-9720000:14466:rev
302_c1	88-9700000-9720000:13943:fwd
302_c1	138-9700000-9720000:13913:fwd
302_c1	588-9700000-9720000:13798:fwd
302_c1	250-9700000-9720000:14303:rev
302_c1	751-9700000-9720000:14284:rev
302_c1	575-9700000-9720000:13783:fwd
302_c1	791-9700000-9720000:13846:fwd
302_c1	462-9700000-9720000:14216:rev
302_c1	439-9700000-9720000:13680:fwd
302_c1	325-9700000-9720000:13647:fwd
302_c1	528-9700000-9720000:13595:fwd
302_c1	283-9700000-9720000:14046:rev
302_c1	746-9700000-9720000:13501:fwd
302_c1	551-9700000-9720000:13482:fwd
302_c1	693-9700000-9720000:13475:fwd
302_c1	696-9700000-9720000:13477:fwd
302_c1	441-9700000-9720000:13374:fwd
302_c1	79-9700000-9720000:13378:fwd
302_c1	289-9700000-9720000:13908:rev
302_c1	567-9700000-9720000:13420:fwd
302_c1	716-9700000-9720000:13848:rev
302_c1	784-9700000-9720000:13293:fwd
302_c1	95-9700000-9720000:13337:fwd
302_c1	21-9700000-9720000:13338:fwd
302_c1	415-9700000-9720000:13881:rev
302_c1	623-9700000-9720000:13483:fwd
302_c1	55-9700000-9720000:13483:fwd
302_c1	313-9700000-9720000:14128:rev
302_c1	195-9700000-9720000:14156:rev
302_c1	199-9700000-9720000:13726:fwd
302_c1	548-9700000-9720000:14320:fwd
302_c1	41-9700000-9720000:15299:rev
302_c1	110-9700000-9720000:15187:fwd
302_c1	486-9700000-9720000:15815:rev
302_c1	231-9700000-9720000:15365:fwd
302_c1	91-9700000-9720000:15382:fwd
302_c1	482-9700000-9720000:15969:rev
302_c1	221-9700000-9720000:15466:fwd
302_c1	560-9700000-9720000:15887:rev
302_c1	227-9700000-9720000:16031:rev
302_c1	177-9700000-9720000:15550:fwd
302_c1	540-9700000-9720000:15650:fwd
302_c1	144-9700000-9720000:15613:fwd
302_c1	787-9700000-9720000:15716:fwd
302_c1	5-9700000-9720000:16289:rev
302_c1	46-9700000-9720000:16341:rev
302_c1	694-9700000-9720000:15860:fwd
302_c1	378-9700000-9720000:16413:rev
302_c1	794-9700000-9720000:16426:rev
302_c1	103-9700000-9720000:16392:rev
302_c1	495-9700000-9720000:16271:rev
302_c1	776-9700000-9720000:15729:fwd
302_c1	75-9700000-9720000:15687:fwd
302_c1	508-9700000-9720000:16499:rev
302_c1	57-9700000-9720000:16551:rev
302_c1	735-9700000-9720000:16054:fwd
302_c1	680-9700000-9720000:16648:rev
302_c1	742-9700000-9720000:16682:rev
302_c1	601-9700000-9720000:16039:fwd
302_c1	565-9700000-9720000:16540:rev
302_c1	128-9700000-9720000:16543:rev
302_c1	469-9700000-9720000:16594:rev
302_c1	562-9700000-9720000:16233:fwd
302_c1	734-9700000-9720000:16330:fwd
302_c1	122-9700000-9720000:16431:fwd
302_c1	739-9700000-9720000:16465:fwd
302_c1	737-9700000-9720000:17019:rev
302_c1	272-9700000-9720000:16558:fwd
302_c1	504-9700000-9720000:16992:rev
302_c1	94-9700000-9720000:16493:fwd
302_c1	492-9700000-9720000:16641:fwd
302_c1	282-9700000-9720000:16579:fwd
302_c1	631-9700000-9720000:16675:fwd
302_c1	3-9700000-9720000:16702:fwd
302_c1	615-9700000-9720000:17224:rev
302_c1	532-9700000-9720000:17263:rev
302_c1	472-9700000-9720000:16790:fwd
302_c1	123-9700000-9720000:16794:fwd
302_c1	359-9700000-9720000:17371:rev
302_c1	345-9700000-9720000:17346:rev
302_c1	139-9700000-9720000:16896:fwd
302_c1	171-9700000-9720000:16911:fwd
302_c1	757-9700000-9720000:17379:rev
302_c1	396-9700000-9720000:17354:rev
302_c1	637-9700000-9720000:16947:fwd
302_c1	149-9700000-9720000:17474:rev
302_c1	179-9700000-9720000:16980:fwd
302_c1	97-9700000-9720000:17576:rev
302_c1	226-9700000-9720000:17137:fwd
302_c1	339-9700000-9720000:17747:rev
302_c1	555-9700000-9720000:17243:fwd
302_c1	99-9700000-9720000:17265:fwd
302_c1	748-9700000-9720000:17307:fwd
302_c1	77-9700000-9720000:17451:fwd
302_c1	589-9700000-9720000:17975:rev
302_c1	483-9700000-9720000:17530:fwd
302_c1	72-9700000-9720000:17591:fwd
302_c1	157-9700000-9720000:18049:rev
302_c1	108-9700000-9720000:18132:rev
302_c1	235-9700000-9720000:17671:fwd
302_c1	300-9700000-9720000:17514:fwd
302_c1	727-9700000-9720000:17850:rev
302_c1	204-9700000-9720000:17823:rev
302_c1	649-9700000-9720000:17292:fwd
302_c1	68-9700000-9720000:17402:fwd
302_c1	669-9700000-9720000:17811:rev
302_c1	17-9700000-9720000:17234:fwd
302_c1	312-9700000-9720000:17653:rev
302_c1	129-9700000-9720000:17503:rev
302_c1	769-9700000-9720000:16963:fwd
302_c1	146-9700000-9720000:17244:fwd
302_c1	681-9700000-9720000:17242:rev
302_c1	208-9700000-9720000:16864:fwd
302_c1	673-9700000-9720000:16521:rev
302_c1	599-9700000-9720000:17412:fwd
302_c1	361-9700000-9720000:17656:fwd
302_c1	689-9700000-9720000:18298:rev
302_c1	736-9700000-9720000:17846:fwd
302_c1	721-9700000-9720000:17886:fwd
302_c1	520-9700000-9720000:18456:rev
302_c1	558-9700000-9720000:18471:rev
302_c1	712-9700000-9720000:18512:rev
302_c1	489-9700000-9720000:18503:rev
302_c1	154-9700000-9720000:18559:rev
302_c1	117-9700000-9720000:18628:rev
302_c1	363-9700000-9720000:18093:fwd
302_c1	768-9700000-9720000:18590:rev
302_c1	106-9700000-9720000:18672:rev
302_c1	319-9700000-9720000:18082:fwd
302_c1	749-9700000-9720000:18609:rev
302_c1	598-9700000-9720000:18207:fwd
302_c1	464-9700000-9720000:18506:rev
302_c1	343-9700000-9720000:18089:fwd
302_c1	496-9700000-9720000:18671:rev
302_c1	64-9700000-9720000:18685:rev
302_c1	333-9700000-9720000:18332:fwd
302_c1	541-9700000-9720000:18392:fwd
302_c1	701-9700000-9720000:18445:fwd
302_c1	164-9700000-9720000:19002:rev
302_c1	341-9700000-9720000:18503:fwd
302_c1	556-9700000-9720000:19167:rev
302_c1	268-9700000-9720000:19263:rev
