#
# contig_name	read_name
#
302_c1	618-9700000-9720000:19318:fwd
302_c1	718-9700000-9720000:19845:rev
302_c1	92-9700000-9720000:19366:fwd
302_c1	298-9700000-9720000:19877:rev
302_c1	37-9700000-9720000:19389:fwd
302_c1	672-9700000-9720000:19948:rev
302_c1	793-9700000-9720000:19932:rev
302_c1	387-9700000-9720000:19441:fwd
302_c1	285-9700000-9720000:19516:fwd
302_c1	738-9700000-9720000:19220:fwd
302_c1	101-9700000-9720000:19634:rev
302_c1	455-9700000-9720000:19116:fwd
302_c1	657-9700000-9720000:19077:fwd
302_c1	169-9700000-9720000:18986:fwd
302_c1	124-9700000-9720000:18965:fwd
302_c1	134-9700000-9720000:19538:rev
302_c1	436-9700000-9720000:19433:rev
302_c1	201-9700000-9720000:19431:rev
302_c1	605-9700000-9720000:18870:fwd
302_c1	34-9700000-9720000:19200:fwd
302_c1	440-9700000-9720000:19589:rev
302_c1	356-9700000-9720000:19225:fwd
302_c1	722-9700000-9720000:19289:fwd
302_c1	109-9700000-9720000:19255:fwd
302_c1	318-9700000-9720000:19771:rev
302_c1	143-9700000-9720000:19456:rev
302_c1	524-9700000-9720000:19374:rev
302_c1	257-9700000-9720000:18962:fwd
302_c1	498-9700000-9720000:19989:rev
302_c1	628-9700000-9720000:19593:fwd
302_c1	253-9700000-9720000:19625:fwd
302_c1	692-9700000-9720000:19706:fwd
302_c1	597-9700000-9720000:18985:fwd
302_c1	444-9700000-9720000:19576:fwd
302_c1	369-9700000-9720000:19344:rev
302_c1	398-9700000-9720000:19399:rev
302_c1	268-9700000-9720000:19263:rev
302_c1	556-9700000-9720000:19167:rev
302_c1	474-9700000-9720000:18687:fwd
302_c1	341-9700000-9720000:18503:fwd
302_c1	142-9700000-9720000:18956:rev
302_c1	541-9700000-9720000:18392:fwd
302_c1	315-9700000-9720000:18870:rev
302_c1	178-9700000-9720000:19163:rev
302_c1	701-9700000-9720000:18445:fwd
302_c1	333-9700000-9720000:18332:fwd
302_c1	405-9700000-9720000:18647:fwd
302_c1	64-9700000-9720000:18685:rev
302_c1	363-9700000-9720000:18093:fwd
302_c1	106-9700000-9720000:18672:rev
302_c1	154-9700000-9720000:18559:rev
302_c1	489-9700000-9720000:18503:rev
302_c1	712-9700000-9720000:18512:rev
302_c1	558-9700000-9720000:18471:rev
302_c1	721-9700000-9720000:17886:fwd
302_c1	736-9700000-9720000:17846:fwd
302_c1	457-9700000-9720000:17888:fwd
302_c1	606-9700000-9720000:17822:fwd
302_c1	785-9700000-9720000:18225:rev
302_c1	770-9700000-9720000:17866:fwd
302_c1	520-9700000-9720000:18456:rev
302_c1	464-9700000-9720000:18506:rev
302_c1	319-9700000-9720000:18082:fwd
302_c1	768-9700000-9720000:18590:rev
302_c1	749-9700000-9720000:18609:rev
302_c1	117-9700000-9720000:18628:rev
302_c1	343-9700000-9720000:18089:fwd
302_c1	598-9700000-9720000:18207:fwd
302_c1	496-9700000-9720000:18671:rev
302_c1	349-9700000-9720000:18127:fwd
302_c1	689-9700000-9720000:18298:rev
302_c1	361-9700000-9720000:17656:fwd
302_c1	108-9700000-9720000:18132:rev
302_c1	235-9700000-9720000:17671:fwd
302_c1	72-9700000-9720000:17591:fwd
302_c1	300-9700000-9720000:17514:fwd
302_c1	483-9700000-9720000:17530:fwd
302_c1	589-9700000-9720000:17975:rev
302_c1	157-9700000-9720000:18049:rev
302_c1	727-9700000-9720000:17850:rev
302_c1	77-9700000-9720000:17451:fwd
302_c1	748-9700000-9720000:17307:fwd
302_c1	555-9700000-9720000:17243:fwd
302_c1	649-9700000-9720000:17292:fwd
302_c1	339-9700000-9720000:17747:rev
302_c1	99-9700000-9720000:17265:fwd
302_c1	669-9700000-9720000:17811:rev
302_c1	312-9700000-9720000:17653:rev
302_c1	204-9700000-9720000:17823:rev
302_c1	146-9700000-9720000:17244:fwd
302_c1	68-9700000-9720000:17402:fwd
302_c1	97-9700000-9720000:17576:rev
302_c1	226-9700000-9720000:17137:fwd
302_c1	129-9700000-9720000:17503:rev
302_c1	149-9700000-9720000:17474:rev
302_c1	179-9700000-9720000:16980:fwd
302_c1	637-9700000-9720000:16947:fwd
302_c1	769-9700000-9720000:16963:fwd
302_c1	171-9700000-9720000:16911:fwd
302_c1	139-9700000-9720000:16896:fwd
302_c1	345-9700000-9720000:17346:rev
302_c1	396-9700000-9720000:17354:rev
302_c1	757-9700000-9720000:17379:rev
302_c1	208-9700000-9720000:16864:fwd
302_c1	123-9700000-9720000:16794:fwd
302_c1	532-9700000-9720000:17263:rev
302_c1	3-9700000-9720000:16702:fwd
302_c1	615-9700000-9720000:17224:rev
302_c1	579-9700000-9720000:17134:rev
302_c1	192-9700000-9720000:17068:rev
302_c1	272-9700000-9720000:16558:fwd
302_c1	737-9700000-9720000:17019:rev
302_c1	739-9700000-9720000:16465:fwd
302_c1	94-9700000-9720000:16493:fwd
302_c1	504-9700000-9720000:16992:rev
302_c1	762-9700000-9720000:17015:rev
302_c1	282-9700000-9720000:16579:fwd
302_c1	122-9700000-9720000:16431:fwd
302_c1	424-9700000-9720000:16874:rev
302_c1	622-9700000-9720000:16407:fwd
302_c1	50-9700000-9720000:16806:rev
302_c1	631-9700000-9720000:16675:fwd
302_c1	681-9700000-9720000:17242:rev
302_c1	17-9700000-9720000:17234:fwd
302_c1	734-9700000-9720000:16330:fwd
302_c1	151-9700000-9720000:19474:fwd
302_c2	237-9700000-9720000:12393:fwd
302_c2	576-9700000-9720000:12990:rev
302_c2	54-9700000-9720000:12455:fwd
302_c2	2-9700000-9720000:13061:rev
302_c2	592-9700000-9720000:12460:fwd
302_c2	797-9700000-9720000:12930:rev
302_c2	650-9700000-9720000:12329:fwd
302_c2	118-9700000-9720000:12279:fwd
302_c2	574-9700000-9720000:12322:fwd
302_c2	570-9700000-9720000:12911:rev
302_c2	281-9700000-9720000:12992:rev
302_c2	699-9700000-9720000:12721:rev
302_c2	767-9700000-9720000:12178:fwd
302_c2	374-9700000-9720000:12040:fwd
302_c2	302-9700000-9720000:12301:fwd
302_c2	39-9700000-9720000:12603:fwd
302_c2	732-9700000-9720000:13175:rev
302_c2	773-9700000-9720000:12644:fwd
302_c2	581-9700000-9720000:12659:fwd
302_c2	766-9700000-9720000:13236:rev
302_c2	512-9700000-9720000:13259:rev
302_c2	417-9700000-9720000:12751:fwd
302_c2	434-9700000-9720000:12790:fwd
302_c2	377-9700000-9720000:12691:fwd
302_c2	774-9700000-9720000:12571:rev
302_c2	743-9700000-9720000:12573:rev
302_c2	644-9700000-9720000:12580:rev
302_c2	629-9700000-9720000:12974:rev
