#
# conName	fromPadded	toPadded	fromUnPadded	toUnPadded	type	SNPqual	qualA	qualC	qualG	qualT	qual*	comment
#
302_c1	0	4	0	4	MIRA							Assembled with MIRA
302_c1	27	27	-1	-1	H454							No edit. PL: 2 RS: 5 RL: 1 RWTS: 0 EL: 1
302_c1	36	36	-1	-1	H454							No edit. PL: 1 RS: 5 RL: 1 RWTS: 0 EL: 1
302_c1	60	60	-1	-1	H454							No edit. PL: 2 RS: 7 RL: 1 RWTS: 0 EL: 1
302_c1	68	68	-1	-1	H454							No edit. PL: 1 RS: 8 RL: 1 RWTS: 0 EL: 1
302_c1	75	75	-1	-1	H454							No edit. PL: 1 RS: 9 RL: 1 RWTS: 0 EL: 1
302_c1	77	77	72	72	H454							No edit. PL: 4 RS: 8 RL: 0 RWTS: 0 EL: 0
302_c1	95	95	-1	-1	H454							No edit. PL: 4 RS: 7 RL: 1 RWTS: 0 EL: 1
302_c1	96	96	90	90	H454							No edit. PL: 4 RS: 7 RL: 1 RWTS: 0 EL: 1
302_c1	104	104	98	98	H454							No edit. PL: 4 RS: 8 RL: 0 RWTS: 0 EL: 0
302_c1	116	116	110	110	H454							No edit. PL: 2 RS: 8 RL: 0 RWTS: 0 EL: 0
302_c1	124	124	118	118	H454							No edit. PL: 2 RS: 10 RL: 0 RWTS: 0 EL: 0
302_c1	134	134	-1	-1	H454							No edit. PL: 5 RS: 9 RL: 1 RWTS: 0 EL: 1
302_c1	135	135	128	128	H454							No edit. PL: 5 RS: 9 RL: 1 RWTS: 0 EL: 1
302_c1	181	181	-1	-1	H454							No edit. PL: 6 RS: 7 RL: 5 RWTS: 0 EL: 5
302_c1	182	182	174	174	H454							No edit. PL: 6 RS: 7 RL: 5 RWTS: 0 EL: 5
302_c1	189	189	181	181	H454							No edit. PL: 3 RS: 14 RL: 0 RWTS: 0 EL: 0
302_c1	224	224	216	216	H454							No edit. PL: 3 RS: 15 RL: 0 RWTS: 0 EL: 0
302_c1	256	256	-1	-1	H454							No edit. PL: 3 RS: 15 RL: 2 RWTS: 0 EL: 2
302_c1	265	265	-1	-1	H454							No edit. PL: 4 RS: 14 RL: 2 RWTS: 0 EL: 2
302_c1	266	266	256	256	H454							No edit. PL: 4 RS: 14 RL: 2 RWTS: 0 EL: 2
302_c1	293	293	283	283	H454							No edit. PL: 3 RS: 17 RL: 0 RWTS: 0 EL: 0
302_c1	297	297	-1	-1	H454							No edit. PL: 3 RS: 17 RL: 2 RWTS: 0 EL: 2
302_c1	305	305	294	294	H454							No edit. PL: 5 RS: 16 RL: 0 RWTS: 0 EL: 0
302_c1	317	317	306	306	H454							No edit. PL: 2 RS: 18 RL: 0 RWTS: 0 EL: 0
302_c1	318	318	-1	-1	H454							No edit. PL: 2 RS: 17 RL: 2 RWTS: 1 EL: 1
302_c1	344	344	-1	-1	H454							No edit. PL: 7 RS: 10 RL: 5 RWTS: 0 EL: 5
302_c1	345	345	332	332	H454							No edit. PL: 7 RS: 10 RL: 5 RWTS: 0 EL: 5
302_c1	365	365	352	352	H454							No edit. PL: 1 RS: 18 RL: 0 RWTS: 0 EL: 0
302_c1	382	382	369	369	H454							No edit. PL: 3 RS: 18 RL: 0 RWTS: 0 EL: 0
302_c1	402	402	389	389	H454							No edit. PL: 3 RS: 17 RL: 0 RWTS: 0 EL: 0
302_c1	407	407	-1	-1	H454							No edit. PL: 5 RS: 14 RL: 5 RWTS: 0 EL: 5
302_c1	413	413	399	399	H454							No edit. PL: 4 RS: 16 RL: 0 RWTS: 0 EL: 0
302_c1	421	421	-1	-1	H454							No edit. PL: 4 RS: 12 RL: 2 RWTS: 0 EL: 2
302_c1	422	422	407	407	H454							No edit. PL: 4 RS: 12 RL: 2 RWTS: 0 EL: 2
302_c1	431	431	-1	-1	H454							No edit. PL: 3 RS: 18 RL: 2 RWTS: 0 EL: 2
302_c1	442	442	426	426	H454							No edit. PL: 2 RS: 18 RL: 0 RWTS: 0 EL: 0
302_c1	449	449	433	433	H454							No edit. PL: 4 RS: 19 RL: 0 RWTS: 0 EL: 0
302_c1	450	450	-1	-1	H454							No edit. PL: 3 RS: 17 RL: 3 RWTS: 0 EL: 3
