#
# conName	cFromPadded	cToPadded	cFromUnpadded	cToUnpadded	type	rName	rFromPadded	rToPadded	rFromUnpadded	rToUnpadded	comment
#
302_c1	14311	14375	14064	14128	HAF4	18-9700000-9720000:14080:fwd	5	69	5	68	
302_c1	14376	14377	14129	14130	HAF3	18-9700000-9720000:14080:fwd	70	71	69	70	
302_c1	14378	14407	14131	14160	HAF4	18-9700000-9720000:14080:fwd	72	101	71	101	
302_c1	14396	14397	14149	14150	R454	18-9700000-9720000:14080:fwd	90	91	89	90	
302_c1	14408	14452	14161	14205	HAF3	18-9700000-9720000:14080:fwd	102	146	102	145	
302_c1	14455	14566	14206	14317	HAF4	18-9700000-9720000:14080:fwd	149	260	146	256	
302_c1	14479	14480	14230	14231	R454	18-9700000-9720000:14080:fwd	173	174	168	169	
302_c1	14523	14524	14274	14275	R454	18-9700000-9720000:14080:fwd	217	218	212	213	
302_c1	14534	14535	14285	14286	R454	18-9700000-9720000:14080:fwd	228	229	224	225	
302_c1	14567	14567	14318	14318	HAF3	18-9700000-9720000:14080:fwd	261	261	257	257	
302_c1	14568	14602	14319	14353	HAF4	18-9700000-9720000:14080:fwd	262	296	258	292	
302_c1	14603	14727	14354	14478	HAF3	18-9700000-9720000:14080:fwd	297	421	293	421	
302_c1	14657	14658	14408	14409	R454	18-9700000-9720000:14080:fwd	351	352	347	348	
302_c1	14677	14677	14428	14428	R454	18-9700000-9720000:14080:fwd	371	371	368	368	
302_c1	14677	14678	14428	14429	R454	18-9700000-9720000:14080:fwd	371	372	368	371	
302_c1	14681	14682	14432	14433	R454	18-9700000-9720000:14080:fwd	375	376	374	375	
302_c1	14723	14603	14474	14354	HAF3	212-9700000-9720000:14533:rev	44	164	44	165	
302_c1	14633	14632	14384	14383	R454	212-9700000-9720000:14533:rev	134	135	134	135	
302_c1	14602	14568	14353	14319	HAF4	212-9700000-9720000:14533:rev	165	199	166	200	
302_c1	14567	14567	14318	14318	HAF3	212-9700000-9720000:14533:rev	200	200	201	201	
302_c1	14566	14455	14317	14206	HAF4	212-9700000-9720000:14533:rev	201	312	202	313	
302_c1	14452	14408	14205	14161	HAF3	212-9700000-9720000:14533:rev	315	359	314	359	
302_c1	14424	14423	14177	14176	R454	212-9700000-9720000:14533:rev	343	344	342	343	
302_c1	14407	14285	14160	14038	HAF4	212-9700000-9720000:14533:rev	360	482	360	482	
302_c1	14284	14219	14037	13973	HAF3	212-9700000-9720000:14533:rev	483	548	483	547	
302_c1	14718	14603	14469	14354	HAF3	711-9700000-9720000:14488:rev	5	120	5	121	
302_c1	14604	14603	14355	14354	R454	711-9700000-9720000:14488:rev	119	120	119	121	
302_c1	14602	14568	14353	14319	HAF4	711-9700000-9720000:14488:rev	121	155	122	156	
302_c1	14567	14567	14318	14318	HAF3	711-9700000-9720000:14488:rev	156	156	157	157	
302_c1	14566	14455	14317	14206	HAF4	711-9700000-9720000:14488:rev	157	268	158	269	
302_c1	14452	14408	14205	14161	HAF3	711-9700000-9720000:14488:rev	271	315	270	314	
302_c1	14407	14285	14160	14038	HAF4	711-9700000-9720000:14488:rev	316	438	315	435	
302_c1	14340	14339	14093	14092	R454	711-9700000-9720000:14488:rev	383	384	379	380	
302_c1	14284	14212	14037	13966	HAF3	711-9700000-9720000:14488:rev	439	511	436	507	
302_c1	14211	14183	13965	13937	HAF4	711-9700000-9720000:14488:rev	512	540	508	536	
302_c1	14202	14284	13956	14037	HAF3	233-9700000-9720000:13970:fwd	6	88	6	88	
302_c1	14228	14229	13982	13983	R454	233-9700000-9720000:13970:fwd	32	33	32	34	
302_c1	14285	14407	14038	14160	HAF4	233-9700000-9720000:13970:fwd	89	211	89	213	
302_c1	14319	14320	14072	14073	R454	233-9700000-9720000:13970:fwd	123	124	123	125	
302_c1	14404	14405	14157	14158	R454	233-9700000-9720000:13970:fwd	208	209	209	211	
302_c1	14408	14452	14161	14205	HAF3	233-9700000-9720000:13970:fwd	212	256	214	260	
302_c1	14435	14436	14188	14189	R454	233-9700000-9720000:13970:fwd	239	240	242	243	
302_c1	14455	14566	14206	14317	HAF4	233-9700000-9720000:13970:fwd	259	370	261	373	
302_c1	14553	14554	14304	14305	R454	233-9700000-9720000:13970:fwd	357	358	359	361	
302_c1	14567	14567	14318	14318	HAF3	233-9700000-9720000:13970:fwd	371	371	374	374	
302_c1	14568	14602	14319	14353	HAF4	233-9700000-9720000:13970:fwd	372	406	375	409	
302_c1	14574	14575	14325	14326	R454	233-9700000-9720000:13970:fwd	378	379	380	382	
302_c1	14603	14710	14354	14461	HAF3	233-9700000-9720000:13970:fwd	407	514	410	517	
302_c1	14655	14656	14406	14407	R454	233-9700000-9720000:13970:fwd	459	460	462	464	
302_c1	14708	14603	14459	14354	HAF3	506-9700000-9720000:14478:rev	5	110	5	109	
302_c1	14602	14568	14353	14319	HAF4	506-9700000-9720000:14478:rev	111	145	110	144	
302_c1	14567	14567	14318	14318	HAF3	506-9700000-9720000:14478:rev	146	146	145	145	
302_c1	14566	14455	14317	14206	HAF4	506-9700000-9720000:14478:rev	147	258	146	256	
302_c1	14452	14408	14205	14161	HAF3	506-9700000-9720000:14478:rev	261	305	257	300	
302_c1	14407	14285	14160	14038	HAF4	506-9700000-9720000:14478:rev	306	428	301	425	
302_c1	14341	14340	14094	14093	R454	506-9700000-9720000:14478:rev	372	373	367	369	
302_c1	14300	14299	14053	14052	R454	506-9700000-9720000:14478:rev	413	414	409	411	
302_c1	14284	14212	14037	13966	HAF3	506-9700000-9720000:14478:rev	429	501	426	498	
302_c1	14229	14228	13983	13982	R454	506-9700000-9720000:14478:rev	484	485	480	482	
302_c1	14211	14173	13965	13927	HAF4	506-9700000-9720000:14478:rev	502	540	499	537	
302_c1	14172	14171	13926	13925	HAF3	506-9700000-9720000:14478:rev	541	542	538	539	
302_c1	14634	14603	14385	14354	HAF3	473-9700000-9720000:14430:rev	30	61	30	61	
302_c1	14602	14568	14353	14319	HAF4	473-9700000-9720000:14430:rev	62	96	62	96	
302_c1	14567	14567	14318	14318	HAF3	473-9700000-9720000:14430:rev	97	97	97	97	
302_c1	14566	14455	14317	14206	HAF4	473-9700000-9720000:14430:rev	98	209	98	209	
302_c1	14452	14408	14205	14161	HAF3	473-9700000-9720000:14430:rev	212	256	210	255	
302_c1	14425	14424	14178	14177	R454	473-9700000-9720000:14430:rev	239	240	237	239	
302_c1	14407	14285	14160	14038	HAF4	473-9700000-9720000:14430:rev	257	379	256	379	
302_c1	14364	14363	14117	14116	R454	473-9700000-9720000:14430:rev	300	301	299	300	
302_c1	14283	14212	14036	13966	HAF3	473-9700000-9720000:14430:rev	381	452	380	450	
302_c1	14211	14173	13965	13927	HAF4	473-9700000-9720000:14430:rev	453	491	451	489	
302_c1	14172	14134	13926	13889	HAF3	473-9700000-9720000:14430:rev	492	530	490	527	
302_c1	14638	14604	14389	14355	HAF3	638-9700000-9720000:14409:rev	5	39	5	39	
302_c1	14603	14568	14354	14319	HAF4	638-9700000-9720000:14409:rev	40	75	40	74	
302_c1	14567	14567	14318	14318	HAF3	638-9700000-9720000:14409:rev	76	76	75	75	
302_c1	14566	14455	14317	14206	HAF4	638-9700000-9720000:14409:rev	77	188	76	188	
302_c1	14467	14466	14218	14217	R454	638-9700000-9720000:14409:rev	176	177	175	177	
302_c1	14452	14408	14205	14161	HAF3	638-9700000-9720000:14409:rev	191	235	189	233	
302_c1	14407	14285	14160	14038	HAF4	638-9700000-9720000:14409:rev	236	358	234	357	
302_c1	14397	14396	14150	14149	R454	638-9700000-9720000:14409:rev	246	247	244	246	
302_c1	14343	14342	14096	14095	R454	638-9700000-9720000:14409:rev	300	301	298	300	
302_c1	14284	14212	14037	13966	HAF3	638-9700000-9720000:14409:rev	359	431	358	429	
302_c1	14211	14173	13965	13927	HAF4	638-9700000-9720000:14409:rev	432	470	430	469	
302_c1	14194	14193	13948	13947	R454	638-9700000-9720000:14409:rev	449	450	447	448	
302_c1	14172	14116	13926	13871	HAF3	638-9700000-9720000:14409:rev	471	527	470	525	
302_c1	14620	14603	14371	14354	HAF3	668-9700000-9720000:14402:rev	19	36	19	36	
302_c1	14602	14568	14353	14319	HAF4	668-9700000-9720000:14402:rev	37	71	37	71	
302_c1	14567	14567	14318	14318	HAF3	668-9700000-9720000:14402:rev	72	72	72	72	
302_c1	14566	14455	14317	14206	HAF4	668-9700000-9720000:14402:rev	73	184	73	185	
302_c1	14505	14504	14256	14255	R454	668-9700000-9720000:14402:rev	134	135	134	135	
302_c1	14452	14408	14205	14161	HAF3	668-9700000-9720000:14402:rev	187	231	186	229	
302_c1	14407	14285	14160	14038	HAF4	668-9700000-9720000:14402:rev	232	354	230	352	
302_c1	14294	14293	14047	14046	R454	668-9700000-9720000:14402:rev	345	346	342	343	
302_c1	14284	14212	14037	13966	HAF3	668-9700000-9720000:14402:rev	355	427	353	424	
302_c1	14211	14173	13965	13927	HAF4	668-9700000-9720000:14402:rev	428	466	425	462	
302_c1	14172	14140	13926	13894	HAF3	668-9700000-9720000:14402:rev	467	499	463	495	
302_c1	14139	14124	-1	13879	HAF2	668-9700000-9720000:14402:rev	500	515	496	511	
302_c1	14652	14603	14403	14354	HAF3	763-9700000-9720000:14422:rev	5	54	5	54	
302_c1	14602	14568	14353	14319	HAF4	763-9700000-9720000:14422:rev	55	89	55	89	
302_c1	14567	14567	14318	14318	HAF3	763-9700000-9720000:14422:rev	90	90	90	90	
302_c1	14566	14455	14317	14206	HAF4	763-9700000-9720000:14422:rev	91	202	91	203	
302_c1	14513	14512	14264	14263	R454	763-9700000-9720000:14422:rev	144	145	144	146	
302_c1	14452	14408	14205	14161	HAF3	763-9700000-9720000:14422:rev	205	249	204	248	
302_c1	14407	14285	14160	14038	HAF4	763-9700000-9720000:14422:rev	250	372	249	374	
302_c1	14404	14403	14157	14156	R454	763-9700000-9720000:14422:rev	253	254	252	253	
302_c1	14376	14375	14129	14128	R454	763-9700000-9720000:14422:rev	281	282	282	284	
302_c1	14286	14285	14039	14038	R454	763-9700000-9720000:14422:rev	371	372	373	374	
302_c1	14284	14212	14037	13966	HAF3	763-9700000-9720000:14422:rev	373	445	375	447	
302_c1	14232	14231	13986	13985	R454	763-9700000-9720000:14422:rev	425	426	426	428	
302_c1	14213	14212	13967	13966	R454	763-9700000-9720000:14422:rev	444	445	446	447	
302_c1	14211	14173	13965	13927	HAF4	763-9700000-9720000:14422:rev	446	484	448	487	
302_c1	14172	14123	13926	13878	HAF3	763-9700000-9720000:14422:rev	485	534	488	536	
302_c1	14182	14211	13936	13965	HAF4	85-9700000-9720000:13952:fwd	5	34	5	34	
302_c1	14212	14284	13966	14037	HAF3	85-9700000-9720000:13952:fwd	35	107	35	105	
302_c1	14285	14408	14038	14161	HAF4	85-9700000-9720000:13952:fwd	108	231	106	227	
302_c1	14409	14452	14162	14205	HAF3	85-9700000-9720000:13952:fwd	232	275	228	272	
302_c1	14424	14425	14177	14178	R454	85-9700000-9720000:13952:fwd	247	248	243	244	
302_c1	14455	14566	14206	14317	HAF4	85-9700000-9720000:13952:fwd	278	389	273	384	
302_c1	14472	14473	14223	14224	R454	85-9700000-9720000:13952:fwd	295	296	290	292	
302_c1	14567	14567	14318	14318	HAF3	85-9700000-9720000:13952:fwd	390	390	385	385	
302_c1	14568	14602	14319	14353	HAF4	85-9700000-9720000:13952:fwd	391	425	386	420	
302_c1	14603	14714	14354	14465	HAF3	85-9700000-9720000:13952:fwd	426	537	421	533	
302_c1	14629	14630	14380	14381	R454	85-9700000-9720000:13952:fwd	452	453	447	448	
302_c1	14794	14604	14545	14355	HAF3	254-9700000-9720000:14564:rev	5	195	5	192	
302_c1	14603	14568	14354	14319	HAF4	254-9700000-9720000:14564:rev	196	231	193	227	
302_c1	14567	14567	14318	14318	HAF3	254-9700000-9720000:14564:rev	232	232	228	228	
302_c1	14566	14455	14317	14206	HAF4	254-9700000-9720000:14564:rev	233	344	229	341	
302_c1	14498	14497	14249	14248	R454	254-9700000-9720000:14564:rev	301	302	297	298	
302_c1	14452	14408	14205	14161	HAF3	254-9700000-9720000:14564:rev	347	391	342	386	
302_c1	14407	14285	14160	14038	HAF4	254-9700000-9720000:14564:rev	392	514	387	509	
302_c1	14364	14363	14117	14116	R454	254-9700000-9720000:14564:rev	435	436	430	431	
302_c1	14284	14249	14037	14003	HAF3	254-9700000-9720000:14564:rev	515	550	510	544	
302_c1	14306	14407	14059	14160	HAF4	22-9700000-9720000:14075:fwd	5	106	5	106	
302_c1	14408	14454	14161	-1	HAF3	22-9700000-9720000:14075:fwd	107	153	107	152	
302_c1	14455	14566	14206	14317	HAF4	22-9700000-9720000:14075:fwd	154	265	153	268	
302_c1	14482	14483	14233	14234	R454	22-9700000-9720000:14075:fwd	181	182	180	182	
302_c1	14504	14505	14255	14256	R454	22-9700000-9720000:14075:fwd	203	204	203	205	
302_c1	14518	14519	14269	14270	R454	22-9700000-9720000:14075:fwd	217	218	218	220	
302_c1	14559	14560	14310	14311	R454	22-9700000-9720000:14075:fwd	258	259	260	262	
302_c1	14568	14602	14319	14353	HAF4	22-9700000-9720000:14075:fwd	267	301	270	303	
302_c1	14603	14734	14354	14485	HAF3	22-9700000-9720000:14075:fwd	302	433	304	436	
302_c1	14645	14646	14396	14397	R454	22-9700000-9720000:14075:fwd	344	345	346	348	
302_c1	14659	14660	14410	14411	R454	22-9700000-9720000:14075:fwd	358	359	362	363	
302_c1	14735	14735	14486	14486	R454	22-9700000-9720000:14075:fwd	434	434	437	437	
302_c1	14735	14736	14486	14487	HAF2	22-9700000-9720000:14075:fwd	434	435	437	438	
302_c1	14738	14844	14489	14594	HAF3	22-9700000-9720000:14075:fwd	437	543	440	543	
302_c1	14343	14352	14096	14105	HAF3	557-9700000-9720000:14112:fwd	5	14	5	14	
302_c1	14353	14407	14106	14160	HAF4	557-9700000-9720000:14112:fwd	15	69	15	69	
302_c1	14408	14452	14161	14205	HAF3	557-9700000-9720000:14112:fwd	70	114	70	112	
302_c1	14455	14566	14206	14317	HAF4	557-9700000-9720000:14112:fwd	117	228	113	224	
302_c1	14469	14470	14220	14221	R454	557-9700000-9720000:14112:fwd	131	132	127	129	
302_c1	14567	14567	14318	14318	HAF3	557-9700000-9720000:14112:fwd	229	229	225	225	
302_c1	14568	14602	14319	14353	HAF4	557-9700000-9720000:14112:fwd	230	264	226	261	
302_c1	14601	14602	14352	14353	R454	557-9700000-9720000:14112:fwd	263	264	259	261	
302_c1	14603	14821	14354	14571	HAF3	557-9700000-9720000:14112:fwd	265	483	262	482	
302_c1	14709	14710	14460	14461	R454	557-9700000-9720000:14112:fwd	371	372	367	369	
302_c1	14725	14726	14476	14477	R454	557-9700000-9720000:14112:fwd	387	388	384	386	
302_c1	14733	14734	14484	14485	R454	557-9700000-9720000:14112:fwd	395	396	393	394	
302_c1	14763	14764	14514	14515	R454	557-9700000-9720000:14112:fwd	425	426	424	426	
302_c1	14343	14352	14096	14105	HAF3	596-9700000-9720000:14112:fwd	5	14	5	14	
302_c1	14353	14407	14106	14160	HAF4	596-9700000-9720000:14112:fwd	15	69	15	68	
302_c1	14408	14452	14161	14205	HAF3	596-9700000-9720000:14112:fwd	70	114	69	114	
302_c1	14455	14566	14206	14317	HAF4	596-9700000-9720000:14112:fwd	117	228	115	226	
302_c1	14537	14538	14288	14289	R454	596-9700000-9720000:14112:fwd	199	200	196	198	
302_c1	14567	14567	14318	14318	HAF3	596-9700000-9720000:14112:fwd	229	229	227	227	
302_c1	14568	14602	14319	14353	HAF4	596-9700000-9720000:14112:fwd	230	264	228	262	
302_c1	14603	14860	14354	14609	HAF3	596-9700000-9720000:14112:fwd	265	522	263	521	
302_c1	14736	14738	14487	14489	R454	596-9700000-9720000:14112:fwd	398	400	395	396	
302_c1	14740	14740	14491	14491	R454	596-9700000-9720000:14112:fwd	402	402	400	400	
302_c1	14828	14829	14578	14579	R454	596-9700000-9720000:14112:fwd	490	491	488	490	
302_c1	14912	14603	14661	14354	HAF3	30-9700000-9720000:14681:rev	5	314	5	315	
302_c1	14715	14714	14466	14465	R454	30-9700000-9720000:14681:rev	202	203	201	203	
302_c1	14638	14637	14389	14388	R454	30-9700000-9720000:14681:rev	279	280	279	281	
302_c1	14602	14568	14353	14319	HAF4	30-9700000-9720000:14681:rev	315	349	316	350	
302_c1	14566	14455	14317	14206	HAF4	30-9700000-9720000:14681:rev	351	462	353	464	
302_c1	14452	14426	14205	14179	HAF3	30-9700000-9720000:14681:rev	465	491	465	491	
302_c1	14424	14410	14177	14163	HAF2	30-9700000-9720000:14681:rev	493	507	492	506	
302_c1	14375	14377	14128	14130	HAF3	781-9700000-9720000:14144:fwd	5	7	5	7	
302_c1	14378	14407	14131	14160	HAF4	781-9700000-9720000:14144:fwd	8	37	8	37	
302_c1	14408	14452	14161	14205	HAF3	781-9700000-9720000:14144:fwd	38	82	38	82	
302_c1	14455	14566	14206	14317	HAF4	781-9700000-9720000:14144:fwd	85	196	83	194	
302_c1	14567	14567	14318	14318	HAF3	781-9700000-9720000:14144:fwd	197	197	195	195	
302_c1	14568	14602	14319	14353	HAF4	781-9700000-9720000:14144:fwd	198	232	196	230	
302_c1	14603	14925	14354	14674	HAF3	781-9700000-9720000:14144:fwd	233	555	231	551	
302_c1	14734	14735	14485	14486	R454	781-9700000-9720000:14144:fwd	364	365	361	362	
302_c1	14773	14774	14524	14525	R454	781-9700000-9720000:14144:fwd	403	404	401	402	
302_c1	14788	14789	14539	14540	R454	781-9700000-9720000:14144:fwd	418	419	417	419	
302_c1	14847	14603	14597	14354	HAF3	425-9700000-9720000:14646:rev	33	277	33	277	
302_c1	14736	14735	14487	14486	R454	425-9700000-9720000:14646:rev	144	145	144	145	
302_c1	14698	14697	14449	14448	R454	425-9700000-9720000:14646:rev	182	183	182	184	
302_c1	14602	14568	14353	14319	HAF4	425-9700000-9720000:14646:rev	278	312	278	312	
302_c1	14567	14567	14318	14318	HAF3	425-9700000-9720000:14646:rev	313	313	313	313	
302_c1	14566	14455	14317	14206	HAF4	425-9700000-9720000:14646:rev	314	425	314	424	
302_c1	14546	14545	14297	14296	R454	425-9700000-9720000:14646:rev	334	335	334	336	
302_c1	14452	14408	14205	14161	HAF3	425-9700000-9720000:14646:rev	428	472	425	470	
302_c1	14446	14445	14199	14198	R454	425-9700000-9720000:14646:rev	434	435	431	433	
302_c1	14407	14353	14160	14106	HAF4	425-9700000-9720000:14646:rev	473	527	471	525	
302_c1	14503	14566	14254	14317	HAF4	111-9700000-9720000:14270:fwd	5	68	5	68	
302_c1	14567	14567	14318	14318	HAF3	111-9700000-9720000:14270:fwd	69	69	69	69	
